Medium;Messtag;Wuchshoehe in mm;Matrikelnummer
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
pH;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
NaCl;30.01.2023, 10:27;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
H2O;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
pH;30.01.2023, 23:41;0;2139315
NaCl;30.01.2023, 23:41;0;2139315
